code,voltage,divided_voltage,divided_voltage (mV)
0,0.0008056640625,8.056640625e-06,0.008056640625
1,0.001611328125,1.611328125e-05,0.01611328125
2,0.0024169921874999997,2.4169921874999998e-05,0.024169921874999997
3,0.00322265625,3.22265625e-05,0.0322265625
4,0.0040283203125,4.0283203125e-05,0.040283203125
5,0.004833984375,4.833984375e-05,0.04833984375
6,0.0056396484374999995,5.6396484374999996e-05,0.05639648437499999
7,0.0064453125,6.4453125e-05,0.064453125
8,0.0072509765625,7.2509765625e-05,0.072509765625
9,0.008056640625,8.056640625e-05,0.08056640625
10,0.0088623046875,8.8623046875e-05,0.088623046875
11,0.009667968749999999,9.667968749999999e-05,0.09667968749999999
12,0.010473632812499998,0.00010473632812499998,0.10473632812499999
13,0.011279296874999999,0.00011279296874999999,0.11279296874999999
14,0.012084960937499998,0.00012084960937499999,0.12084960937499999
15,0.012890625,0.00012890625,0.12890625
16,0.013696289062499999,0.00013696289062499999,0.136962890625
17,0.014501953124999998,0.00014501953124999997,0.14501953124999997
18,0.015307617187499999,0.000153076171875,0.153076171875
19,0.01611328125,0.0001611328125,0.1611328125
20,0.0169189453125,0.000169189453125,0.169189453125
21,0.017724609375,0.00017724609375,0.17724609375
22,0.018530273437499998,0.00018530273437499997,0.18530273437499997
23,0.019335937499999997,0.00019335937499999998,0.19335937499999997
24,0.020141601562499997,0.00020141601562499996,0.20141601562499997
25,0.020947265625,0.00020947265625,0.20947265625
26,0.0217529296875,0.00021752929687499998,0.21752929687499997
27,0.022558593749999998,0.00022558593749999998,0.22558593749999997
28,0.023364257812499997,0.00023364257812499996,0.23364257812499997
29,0.024169921874999997,0.00024169921874999997,0.24169921874999997
30,0.0249755859375,0.000249755859375,0.24975585937499997
31,0.02578125,0.0002578125,0.2578125
32,0.026586914062499998,0.000265869140625,0.265869140625
33,0.027392578124999997,0.00027392578124999997,0.27392578125
34,0.028198242187499997,0.00028198242187499995,0.28198242187499994
35,0.02900390625,0.0002900390625,0.2900390625
36,0.0298095703125,0.00029809570312499997,0.29809570312499994
37,0.030615234374999998,0.00030615234375,0.30615234375
38,0.0314208984375,0.000314208984375,0.314208984375
39,0.0322265625,0.000322265625,0.322265625
40,0.0330322265625,0.00033032226562500005,0.33032226562500006
41,0.033837890625,0.00033837890625,0.33837890625
42,0.0346435546875,0.000346435546875,0.346435546875
43,0.035449218750000004,0.00035449218750000004,0.35449218750000006
44,0.0362548828125,0.000362548828125,0.362548828125
45,0.037060546875,0.00037060546875,0.37060546875
46,0.0378662109375,0.000378662109375,0.378662109375
47,0.038671875,0.00038671875,0.38671875
48,0.0394775390625,0.000394775390625,0.394775390625
49,0.040283203125,0.00040283203125,0.40283203125
50,0.0410888671875,0.000410888671875,0.410888671875
51,0.04189453125,0.0004189453125,0.4189453125
52,0.0427001953125,0.000427001953125,0.427001953125
53,0.043505859375,0.00043505859374999995,0.43505859374999994
54,0.0443115234375,0.000443115234375,0.443115234375
55,0.0451171875,0.000451171875,0.451171875
56,0.0459228515625,0.000459228515625,0.459228515625
57,0.046728515625,0.00046728515625000004,0.46728515625000006
58,0.0475341796875,0.00047534179687499996,0.47534179687499994
59,0.04833984375,0.0004833984375,0.4833984375
60,0.0491455078125,0.000491455078125,0.491455078125
61,0.049951171875,0.00049951171875,0.49951171874999994
62,0.0507568359375,0.000507568359375,0.507568359375
63,0.0515625,0.000515625,0.515625
64,0.0523681640625,0.000523681640625,0.523681640625
65,0.053173828125,0.00053173828125,0.53173828125
66,0.0539794921875,0.000539794921875,0.539794921875
67,0.05478515625,0.0005478515625,0.5478515625
68,0.0555908203125,0.0005559082031249999,0.5559082031249999
69,0.056396484375,0.00056396484375,0.56396484375
70,0.0572021484375,0.000572021484375,0.572021484375
71,0.0580078125,0.000580078125,0.580078125
72,0.0588134765625,0.0005881347656250001,0.5881347656250001
73,0.059619140625,0.0005961914062499999,0.5961914062499999
74,0.0604248046875,0.000604248046875,0.604248046875
75,0.06123046875,0.0006123046875,0.6123046875
76,0.0620361328125,0.000620361328125,0.620361328125
77,0.062841796875,0.00062841796875,0.62841796875
78,0.0636474609375,0.0006364746093749999,0.6364746093749999
79,0.064453125,0.00064453125,0.64453125
80,0.0652587890625,0.000652587890625,0.652587890625
81,0.066064453125,0.0006606445312500001,0.6606445312500001
82,0.0668701171875,0.000668701171875,0.668701171875
83,0.06767578125,0.0006767578125,0.6767578125
84,0.0684814453125,0.000684814453125,0.684814453125
85,0.069287109375,0.00069287109375,0.69287109375
86,0.0700927734375,0.0007009277343750001,0.7009277343750001
87,0.0708984375,0.000708984375,0.708984375
88,0.0717041015625,0.000717041015625,0.717041015625
89,0.072509765625,0.00072509765625,0.72509765625
90,0.0733154296875,0.000733154296875,0.733154296875
91,0.07412109375,0.0007412109375,0.7412109375
92,0.0749267578125,0.000749267578125,0.749267578125
93,0.075732421875,0.00075732421875,0.75732421875
94,0.0765380859375,0.000765380859375,0.765380859375
95,0.07734375,0.0007734375,0.7734375
96,0.07814941406249999,0.0007814941406249999,0.7814941406249999
97,0.078955078125,0.00078955078125,0.78955078125
98,0.0797607421875,0.000797607421875,0.797607421875
99,0.08056640625,0.0008056640625,0.8056640625
100,0.0813720703125,0.000813720703125,0.813720703125
101,0.08217773437499999,0.0008217773437499999,0.8217773437499999
102,0.0829833984375,0.0008298339843749999,0.8298339843749999
103,0.0837890625,0.000837890625,0.837890625
104,0.0845947265625,0.000845947265625,0.845947265625
105,0.085400390625,0.00085400390625,0.85400390625
106,0.08620605468749999,0.0008620605468749999,0.8620605468749999
