T,R,calc,error
-50,40.16,40.15976123595506,0.0002387640449370565
-49,40.358,40.35382231404959,0.004177685950409682
-48,40.556,40.55606617647059,6.617647058959619e-05
-47,40.754,40.75611888111888,0.0021188811188821433
-46,40.952,40.952620967741936,0.0006209677419377613
-45,41.15,41.15032327586207,0.00032327586207259174
-44,41.348,41.347899377593365,0.000100622406634443
-43,41.546,41.54829545454545,0.002295454545453879
-42,41.744,41.74325980392157,0.0007401960784321204
-41,41.942,41.9422901459854,0.00029014598540300085
-40,42.14,42.140151515151516,0.0001515151515150137
-39,42.337,42.337436868686865,0.0004368686868616578
-38,42.534,42.53472222222222,0.0007222222222225128
-37,42.731,42.731207770270274,0.0002077702702720785
-36,42.928,42.928059895833336,5.989583333843029e-05
-35,43.125,43.125,0.0
-34,43.322,43.32119360902256,0.0008063909774449485
-33,43.519,43.51699561403509,0.002004385964909261
-32,43.716,43.7109375,0.00506250000000108
-31,43.913,43.911637931034484,0.0013620689655127194
-30,44.11,44.1109283625731,0.0009283625730986955
-29,44.307,44.30650684931507,0.0004931506849317202
-28,44.504,44.50757575757576,0.003575757575760008
-27,44.701,44.701086956521735,8.69565217342938e-05
-26,44.898,44.8974609375,0.0005390625000032401
-25,45.095,45.09493670886076,6.329113924152807e-05
-24,45.292,45.29272151898734,0.0007215189873406302
-23,45.489,45.4879981884058,0.0010018115942003192
-22,45.686,45.68614130434783,0.0001413043478279974
-21,45.883,45.882936507936506,6.349206349653969e-05
-20,46.08,46.08050847457627,0.000508474576271567
-19,46.276,46.27588190184049,0.00011809815951124847
-18,46.472,46.471774193548384,0.0002258064516169611
-17,46.668,46.66819852941177,0.00019852941176878858
-16,46.864,46.85980058365759,0.004199416342409279
-15,47.06,47.05954724409449,0.0004527559055134134
-14,47.256,47.25609756097561,9.756097561108845e-05
-13,47.452,47.45268485915493,0.0006848591549299954
-12,47.648,47.648514851485146,0.0005148514851427421
-11,47.844,47.84421992481203,0.0002199248120291486
-10,48.04,48.03734756097561,0.0026524390243878315
-9,48.236,48.23600113122172,1.1312217225167842e-06
-8,48.432,48.4297263681592,0.0022736318408007605
-7,48.628,48.62780448717949,0.0001955128205111123
-6,48.824,48.82002074688797,0.0039792531120284025
-5,49.02,49.020686619718305,0.0006866197183015288
-4,49.216,49.21488242574257,0.001117574257428089
-3,49.412,49.41152597402598,0.00047402597402168567
-2,49.608,49.60754107981221,0.0004589201877891469
-1,49.804,49.8046875,0.0006874999999979536
0,50.0,50.0,0.0
1,50.195,50.1953125,0.0003124999999997158
2,50.39,50.390625,0.0006249999999994316
3,50.585,50.584846368715084,0.0001536312849168553
4,50.78,50.78125,0.0012499999999988631
5,50.975,50.9717987804878,0.003201219512199316
6,51.17,51.16835585585586,0.0016441441441443772
7,51.365,51.3599537037037,0.005046296296299602
8,51.56,51.55879739336493,0.0012026066350756537
9,51.755,51.75347222222222,0.0015277777777811252
10,51.95,51.94826244813278,0.0017375518672224644
11,52.145,52.1463373655914,0.0013373655913966331
12,52.34,52.34375,0.0037499999999965894
13,52.535,52.535076530612244,7.653061224743851e-05
14,52.73,52.72627074688797,0.0037292531120272088
15,52.925,52.92338709677419,0.0016129032258049847
16,53.12,53.12113242574257,0.001132425742575549
17,53.315,53.31503378378378,3.378378378471325e-05
18,53.51,53.5109186746988,0.0009186746988021355
19,53.705,53.704108391608386,0.0008916083916119533
20,53.9,53.89994959677419,5.040322580640577e-05
21,54.094,54.09414556962025,0.0001455696202512513
22,54.288,54.28799715909091,2.8409090901959644e-06
23,54.482,54.48190789473684,9.210526315683865e-05
24,54.676,54.67230058365759,0.003699416342413997
25,54.87,54.86918604651163,0.0008139534883682131
26,55.064,55.06350267379679,0.0004973262032095249
27,55.258,55.259627525252526,0.0016275252525232986
28,55.452,55.451291899441344,0.0007081005586542233
29,55.646,55.645636792452834,0.00036320754716712145
30,55.84,55.83934294871795,0.0006570512820545105
31,56.033,56.03448275862069,0.0014827586206891397
32,56.226,56.22632575757576,0.00032575757575870057
33,56.419,56.41867897727273,0.0003210227272703037
34,56.612,56.6131161971831,0.0011161971831015194
35,56.805,56.804906542056074,9.345794392601192e-05
36,56.998,56.99823943661972,0.00023943661972225527
37,57.191,57.18925561797753,0.0017443820224727347
38,57.384,57.38250968992248,0.0014903100775214284
39,57.577,57.577489837398375,0.0004898373983763804
40,57.77,57.76909722222222,0.0009027777777816937
41,57.963,57.96314461883408,0.0001446188340779031
42,58.156,58.15582959641256,0.00017040358743969364
43,58.349,58.348651960784316,0.00034803921568027363
44,58.542,58.541666666666664,0.0003333333333372934
45,58.735,58.73325892857143,0.00174107142856883
46,58.928,58.92857142857143,0.00057142857143333
47,59.121,59.12162162162162,0.0006216216216188286
48,59.314,59.31405141843972,5.1418439717565434e-05
49,59.507,59.50797872340426,0.0009787234042590853
50,59.7,59.69994469026549,5.530973451328691e-05
51,59.892,59.89068675889328,0.0013132411067218186
52,60.084,60.08468511450382,0.0006851145038169193
53,60.276,60.276679841897234,0.000679841897230915
54,60.468,60.46769425675676,0.0003057432432456153
55,60.66,60.66042877906977,0.0004287790697716787
56,60.852,60.85205078125,5.0781250003240075e-05
57,61.044,61.04343220338983,0.0005677966101700349
58,61.236,61.236213235294116,0.0002132352941188742
59,61.428,61.42837389380531,0.00037389380531038796
60,61.62,61.62021396396396,0.00021396396396511363
61,61.812,61.812279929577464,0.0002799295774664756
62,62.004,62.00396825396825,3.174603174471713e-05
