T,R
-50,	80.31
-48,	81.1
-46,	81.89
-44,	82.69
-42,	83.48
-40,	84.27
-38,	85.06
-36,	85.85
-34,	86.64
-32,	87.43
-30,	88.22
-28,	89.01
-26,	89.8
-24,	90.59
-22,	91.37
-20,	92.16
-18,	92.95
-16,	93.73
-14,	94.52
-12,	95.3
-10,	96.09
-8 ,	96.87
-6 ,	97.65
-4 ,	98.44
-2 ,	99.22
0  ,	100
2  ,	100.78
4  ,	101.56
6  ,	102.34
8  ,	103.12
10 ,	103.9
12 ,	104.68
14 ,	105.46
16 ,	106.24
18 ,	107.02
20 ,	107.79
22 ,	108.57
24 ,	109.35
26 ,	110.12
28 ,	110.9
30 ,	111.67
32 ,	112.45
34 ,	113.22
36 ,	114
38 ,	114.77
40 ,	115.54
42 ,	116.31
44 ,	117.08
46 ,	117.86
48 ,	118.63
50 ,	119.4
52 ,	120.17
54 ,	120.94
56 ,	121.74
58 ,	122.47
60 ,	123.24
62 ,	124.01
64 ,	124.78
66 ,	125.54
68 ,	126.31
70 ,	127.08
72 ,	127.84
74 ,	128.61
76 ,	129.37
78 ,	130.13
80 ,	130.9
82 ,	131.66
84 ,	132.42
86 ,	133.18
88 ,	133.95
90 ,	134.71
92 ,	135.47
94 ,	136.23
96 ,	136.99
98 ,	137.75
100,	138.51
