T,R
-50,39.3
-49,39.513999999999996
-48,39.727999999999994
-47,39.94199999999999
-46,40.15599999999999
-45,40.36999999999999
-44,40.58399999999999
-43,40.79799999999999
-42,41.011999999999986
-41,41.225999999999985
-40,41.44
-39,41.653999999999996
-38,41.867999999999995
-37,42.081999999999994
-36,42.29599999999999
-35,42.50999999999999
-34,42.72399999999999
-33,42.93799999999999
-32,43.15199999999999
-31,43.365999999999985
-30,43.58
-29,43.794
-28,44.007999999999996
-27,44.221999999999994
-26,44.43599999999999
-25,44.64999999999999
-24,44.86399999999999
-23,45.07799999999999
-22,45.29199999999999
-21,45.505999999999986
-20,45.72
-19,45.934
-18,46.147999999999996
-17,46.361999999999995
-16,46.57599999999999
-15,46.78999999999999
-14,47.00399999999999
-13,47.21799999999999
-12,47.43199999999999
-11,47.64599999999999
-10,47.86
-9,48.074
-8,48.288
-7,48.501999999999995
-6,48.715999999999994
-5,48.92999999999999
-4,49.14399999999999
-3,49.35799999999999
-2,49.57199999999999
-1,49.78599999999999
0,50.0
1,50.214
2,50.428
3,50.641999999999996
4,50.855999999999995
5,51.06999999999999
6,51.28399999999999
7,51.49799999999999
8,51.71199999999999
9,51.92599999999999
10,52.14
11,52.354
12,52.568
13,52.782
14,52.995999999999995
15,53.209999999999994
16,53.42399999999999
17,53.63799999999999
18,53.85199999999999
19,54.06599999999999
20,54.28
21,54.494
22,54.708
23,54.922
24,55.135999999999996
25,55.349999999999994
26,55.56399999999999
27,55.77799999999999
28,55.99199999999999
29,56.20599999999999
30,56.42
31,56.634
32,56.848
33,57.062
34,57.275999999999996
35,57.489999999999995
36,57.70399999999999
37,57.91799999999999
38,58.13199999999999
39,58.34599999999999
40,58.56
41,58.774
42,58.988
43,59.202
44,59.416
45,59.629999999999995
46,59.843999999999994
47,60.05799999999999
48,60.27199999999999
49,60.48599999999999
50,60.7
51,60.914
52,61.128
53,61.342
54,61.556
55,61.769999999999996
56,61.983999999999995
57,62.19799999999999
58,62.41199999999999
59,62.62599999999999
60,62.84
61,63.054
62,63.268
63,63.482
64,63.696
65,63.91
66,64.124
67,64.338
68,64.55199999999999
69,64.76599999999999
70,64.98
71,65.194
72,65.408
73,65.622
74,65.836
75,66.05
76,66.264
77,66.478
78,66.692
79,66.90599999999999
80,67.12
81,67.334
82,67.548
83,67.762
84,67.976
85,68.19
86,68.404
87,68.618
88,68.832
89,69.04599999999999
90,69.26
91,69.474
92,69.688
93,69.902
94,70.116
95,70.33
96,70.544
97,70.758
98,70.972
99,71.18599999999999
100,71.4
