,T,R,calc,error,code,R1_code,R2_code,R3_code,R1,R2,R3
0,-50,401.57,401.56987,0.00013000000001284207,"[224, 92, 36]",224,92,36,878.90625,363.28125,144.53125
1,-49,403.551,403.55114,0.0001399999999875945,"[122, 41, 71]",122,41,71,480.46875,164.0625,281.25
2,-48,405.532,405.53194,5.99999999622014e-05,"[130, 4, 98]",130,4,98,511.71875,19.53125,386.71875
3,-47,407.513,407.51275,0.0002499999999940883,"[226, 103, 32]",226,103,32,886.71875,406.25,128.90625
4,-46,409.494,409.49389,0.00011000000000649379,"[202, 26, 80]",202,26,80,792.96875,105.46875,316.40625
5,-45,411.475,411.47498,2.0000000006348273e-05,"[218, 171, 8]",218,171,8,855.46875,671.875,35.15625
6,-44,413.456,413.45594,6.000000001904482e-05,"[231, 89, 40]",231,89,40,906.25,351.5625,160.15625
7,-43,415.437,415.43692,8.000000002539309e-05,"[204, 64, 56]",204,64,56,800.78125,253.90625,222.65625
8,-42,417.418,417.418,0.0,"[238, 143, 16]",238,143,16,933.59375,562.5,66.40625
9,-41,419.399,419.39899,9.999999974752427e-06,"[188, 64, 58]",188,64,58,738.28125,253.90625,230.46875
10,-40,421.38,421.38003,2.99999999811007e-05,"[234, 56, 61]",234,56,61,917.96875,222.65625,242.1875
11,-39,423.354,423.35407,6.999999999379725e-05,"[221, 189, 5]",221,189,5,867.1875,742.1875,23.4375
12,-38,425.328,425.32804,4.0000000012696546e-05,"[239, 121, 27]",239,121,27,937.5,476.5625,109.375
13,-37,427.302,427.302,0.0,"[91, 38, 81]",91,38,81,359.375,152.34375,320.3125
14,-36,429.276,429.27632,0.00031999999998788553,"[241, 175, 7]",241,175,7,945.3125,687.5,31.25
15,-35,431.25,431.25,0.0,"[251, 62, 59]",251,62,59,984.375,246.09375,234.375
16,-34,433.224,433.22393,6.999999999379725e-05,"[164, 3, 106]",164,3,106,644.53125,15.625,417.96875
17,-33,435.198,435.19873,0.00073000000003276,"[223, 106, 38]",223,106,38,875.0,417.96875,152.34375
18,-32,437.172,437.17199,1.0000000031595846e-05,"[80, 49, 80]",80,49,80,316.40625,195.3125,316.40625
19,-31,439.146,439.14603,2.99999999811007e-05,"[163, 153, 32]",163,153,32,640.625,601.5625,128.90625
20,-30,441.12,441.11987,0.00013000000001284207,"[180, 159, 27]",180,159,27,707.03125,625.0,109.375
21,-29,443.088,443.08786,0.0001400000000444379,"[165, 56, 70]",165,56,70,648.4375,222.65625,277.34375
22,-28,445.056,445.05589,0.00011000000000649379,"[229, 43, 76]",229,43,76,898.4375,171.875,300.78125
23,-27,447.024,447.024,0.0,"[116, 76, 67]",116,76,67,457.03125,300.78125,265.625
24,-26,448.992,448.992,0.0,"[206, 171, 20]",206,171,20,808.59375,671.875,82.03125
