,T,R,calc,error,code,R1_code,R2_code,R3_code,R1,R2,R3
25,-25,450.96,450.96009,9.000000000014552e-05,"[85, 79, 73]",85,79,73,335.9375,312.5,289.0625
26,-24,452.928,452.92805,4.999999998744897e-05,"[221, 134, 31]",221,134,31,867.1875,527.34375,125.0
27,-23,454.896,454.89559,0.00040999999998803105,"[150, 62, 71]",150,62,71,589.84375,246.09375,281.25
28,-22,456.864,456.86406,6.000000001904482e-05,"[220, 35, 85]",220,35,85,863.28125,140.625,335.9375
29,-21,458.832,458.83194,6.000000001904482e-05,"[208, 200, 14]",208,200,14,816.40625,785.15625,58.59375
30,-20,460.8,460.79996,4.0000000012696546e-05,"[124, 16, 102]",124,16,102,488.28125,66.40625,402.34375
31,-19,462.763,462.76303,3.000000003794412e-05,"[247, 149, 24]",247,149,24,968.75,585.9375,97.65625
32,-18,464.726,464.72617,0.0001700000000255386,"[249, 48, 77]",249,48,77,976.5625,191.40625,304.6875
33,-17,466.689,466.68903,2.99999999811007e-05,"[165, 159, 37]",165,159,37,648.4375,625.0,148.4375
34,-16,468.652,468.65199,9.999999974752427e-06,"[237, 40, 84]",237,40,84,929.6875,160.15625,332.03125
35,-15,470.615,470.61492,8.000000002539309e-05,"[145, 8, 111]",145,8,111,570.3125,35.15625,437.5
36,-14,472.578,472.57812,0.00012000000003808964,"[197, 1, 118]",197,1,118,773.4375,7.8125,464.84375
37,-13,474.541,474.54098,2.0000000006348273e-05,"[166, 89, 62]",166,89,62,652.34375,351.5625,246.09375
38,-12,476.504,476.50398,2.0000000006348273e-05,"[175, 90, 61]",175,90,61,687.5,355.46875,242.1875
39,-11,478.467,478.46704,4.0000000012696546e-05,"[139, 60, 79]",139,60,79,546.875,238.28125,312.5
40,-10,480.43,480.42998,2.0000000006348273e-05,"[218, 183, 22]",218,183,22,855.46875,718.75,89.84375
41,-9,482.387,482.387,0.0,"[249, 197, 12]",249,197,12,976.5625,773.4375,50.78125
42,-8,484.344,484.344,0.0,"[124, 0, 122]",124,0,122,488.28125,3.90625,480.46875
43,-7,486.301,486.301,0.0,"[124, 18, 107]",124,18,107,488.28125,74.21875,421.875
44,-6,488.258,488.258,0.0,"[166, 0, 123]",166,0,123,652.34375,3.90625,484.375
45,-5,490.215,490.21504,4.0000000012696546e-05,"[170, 131, 50]",170,131,50,667.96875,515.625,199.21875
46,-4,492.172,492.172,0.0,"[250, 0, 124]",250,0,124,980.46875,3.90625,488.28125
47,-3,494.129,494.129,0.0,"[252, 82, 63]",252,82,63,988.28125,324.21875,250.0
48,-2,496.086,496.086,0.0,"[252, 250, 0]",252,250,0,988.28125,980.46875,3.90625
49,-1,498.043,498.04243,0.0005699999999819738,"[229, 208, 17]",229,208,17,898.4375,816.40625,70.3125
50,0,500.0,500.0,0.0,"[254, 169, 25]",254,169,25,996.09375,664.0625,101.5625
51,1,501.951,501.95312,0.002119999999990796,"[254, 254, 0]",254,254,0,996.09375,996.09375,3.90625
52,2,503.902,503.89856,0.003440000000011878,"[254, 252, 1]",254,252,1,996.09375,988.28125,7.8125
53,3,505.853,505.85313,0.00013000000001284207,"[252, 59, 80]",252,59,80,988.28125,234.375,316.40625
54,4,507.804,507.80401,1.0000000031595846e-05,"[230, 228, 14]",230,228,14,902.34375,894.53125,58.59375
55,5,509.755,509.75501,1.0000000031595846e-05,"[228, 138, 43]",228,138,43,894.53125,542.96875,171.875
56,6,511.706,511.70594,6.000000001904482e-05,"[183, 120, 57]",183,120,57,718.75,472.65625,226.5625
57,7,513.657,513.65697,3.000000003794412e-05,"[131, 129, 65]",131,129,65,515.625,507.8125,257.8125
58,8,515.608,515.60802,2.0000000063191692e-05,"[228, 0, 130]",228,0,130,894.53125,3.90625,511.71875
59,9,517.559,517.55916,0.00016000000005078618,"[243, 167, 32]",243,167,32,953.125,656.25,128.90625
60,10,519.51,519.51002,2.0000000063191692e-05,"[182, 0, 131]",182,0,131,714.84375,3.90625,515.625
61,11,521.455,521.45522,0.00022000000001298758,"[194, 139, 51]",194,139,51,761.71875,546.875,203.125
62,12,523.4,523.39994,5.99999999622014e-05,"[209, 205, 29]",209,205,29,820.3125,804.6875,117.1875
63,13,525.345,525.34494,6.000000007588824e-05,"[244, 96, 64]",244,96,64,957.03125,378.90625,253.90625
64,14,527.29,527.28999,9.999999974752427e-06,"[168, 48, 96]",168,48,96,660.15625,191.40625,378.90625
65,15,529.235,529.2352,0.0001999999999497959,"[213, 165, 41]",213,165,41,835.9375,648.4375,164.0625
66,16,531.18,531.17993,6.999999993695383e-05,"[220, 1, 133]",220,1,133,863.28125,7.8125,523.4375
67,17,533.125,533.125,0.0,"[233, 65, 84]",233,65,84,914.0625,257.8125,332.03125
68,18,535.07,535.07008,7.999999991170625e-05,"[206, 200, 34]",206,200,34,808.59375,785.15625,136.71875
69,19,537.015,537.01517,0.0001700000000255386,"[195, 114, 64]",195,114,64,765.625,449.21875,253.90625
70,20,538.96,538.96024,0.00023999999996249244,"[176, 13, 124]",176,13,124,691.40625,54.6875,488.28125
71,21,540.9,540.89998,1.9999999949504854e-05,"[230, 72, 82]",230,72,82,902.34375,285.15625,324.21875
72,22,542.84,542.83997,3.000000003794412e-05,"[191, 80, 81]",191,80,81,750.0,316.40625,320.3125
73,23,544.78,544.78003,3.000000003794412e-05,"[205, 151, 51]",205,151,51,804.6875,593.75,203.125
74,24,546.72,546.72013,0.00013000000001284207,"[223, 2, 136]",223,2,136,875.0,11.71875,535.15625
75,25,548.66,548.65998,1.9999999949504854e-05,"[254, 197, 28]",254,197,28,996.09375,773.4375,113.28125
76,26,550.6,550.60003,2.999999992425728e-05,"[190, 2, 137]",190,2,137,746.09375,11.71875,539.0625
77,27,552.54,552.53984,0.00015999999993709935,"[255, 245, 15]",255,245,15,1000.0,960.9375,62.5
78,28,554.48,554.48009,9.000000000014552e-05,"[185, 152, 57]",185,152,57,726.5625,597.65625,226.5625
79,29,556.42,556.41998,1.9999999949504854e-05,"[205, 32, 113]",205,32,113,804.6875,128.90625,445.3125
80,30,558.36,558.36031,0.0003100000000131331,"[211, 38, 109]",211,38,109,828.125,152.34375,429.6875
81,31,560.294,560.29412,0.00012000000003808964,"[242, 11, 131]",242,11,131,949.21875,46.875,515.625
82,32,562.228,562.22805,5.000000010113581e-05,"[144, 12, 131]",144,12,131,566.40625,50.78125,515.625
83,33,564.162,564.16223,0.00022999999998774,"[248, 173, 41]",248,173,41,972.65625,679.6875,164.0625
84,34,566.096,566.09601,9.999999974752427e-06,"[252, 23, 122]",252,23,122,988.28125,93.75,480.46875
85,35,568.03,568.02984,0.00015999999993709935,"[202, 39, 111]",202,39,111,792.96875,156.25,437.5
86,36,569.964,569.96399,1.0000000088439265e-05,"[231, 36, 113]",231,36,113,906.25,144.53125,445.3125
87,37,571.898,571.89798,2.0000000063191692e-05,"[148, 20, 127]",148,20,127,582.03125,82.03125,500.0
88,38,573.832,573.83199,9.999999974752427e-06,"[239, 62, 96]",239,62,96,937.5,246.09375,378.90625
89,39,575.766,575.76603,3.000000003794412e-05,"[94, 58, 110]",94,58,110,371.09375,230.46875,433.59375
90,40,577.7,577.69997,3.000000003794412e-05,"[138, 53, 108]",138,53,108,542.96875,210.9375,425.78125
91,41,579.628,579.6281,9.999999997489795e-05,"[238, 194, 40]",238,194,40,933.59375,761.71875,160.15625
92,42,581.556,581.55601,9.999999974752427e-06,"[189, 146, 65]",189,146,65,742.1875,574.21875,257.8125
93,43,583.484,583.48399,1.0000000088439265e-05,"[167, 73, 97]",167,73,97,656.25,289.0625,382.8125
94,44,585.412,585.412,0.0,"[249, 195, 39]",249,195,39,976.5625,765.625,156.25
95,45,587.34,587.34001,9.999999974752427e-06,"[244, 130, 64]",244,130,64,957.03125,511.71875,253.90625
96,46,589.268,589.26776,0.00024000000007617928,"[226, 145, 61]",226,145,61,886.71875,570.3125,242.1875
97,47,591.196,591.19591,9.000000000014552e-05,"[251, 163, 51]",251,163,51,984.375,640.625,203.125
98,48,593.124,593.124,0.0,"[150, 4, 146]",150,4,146,589.84375,19.53125,574.21875
99,49,595.052,595.05208,8.000000002539309e-05,"[255, 127, 66]",255,127,66,1000.0,500.0,261.71875
100,50,596.98,596.98017,0.0001700000000255386,"[242, 224, 35]",242,224,35,949.21875,878.90625,140.625
101,51,598.902,598.9019,0.00010000000008858478,"[182, 139, 73]",182,139,73,714.84375,546.875,289.0625
102,52,600.824,600.82406,6.000000007588824e-05,"[237, 126, 70]",237,126,70,929.6875,496.09375,277.34375
103,53,602.746,602.74621,0.00021000000003823516,"[124, 39, 123]",124,39,123,488.28125,156.25,484.375
104,54,604.668,604.66797,3.000000003794412e-05,"[178, 20, 135]",178,20,135,699.21875,82.03125,531.25
105,55,606.59,606.59022,0.00022000000001298758,"[218, 90, 90]",218,90,90,855.46875,355.46875,355.46875
106,56,608.512,608.51199,9.999999974752427e-06,"[254, 174, 51]",254,174,51,996.09375,683.59375,203.125
107,57,610.434,610.43392,8.000000002539309e-05,"[154, 10, 145]",154,10,145,605.46875,42.96875,570.3125
108,58,612.356,612.35609,9.000000000014552e-05,"[236, 104, 83]",236,104,83,925.78125,410.15625,328.125
109,59,614.278,614.27802,1.9999999949504854e-05,"[242, 191, 49]",242,191,49,949.21875,750.0,195.3125
110,60,616.2,616.19996,4.0000000012696546e-05,"[120, 56, 118]",120,56,118,472.65625,222.65625,464.84375
111,61,618.116,618.11626,0.00026000000002568413,"[227, 57, 111]",227,57,111,890.625,226.5625,437.5
112,62,620.032,620.03212,0.0001199999999244028,"[222, 63, 108]",222,63,108,871.09375,250.0,425.78125
113,63,621.948,621.94789,0.00010999999994965037,"[184, 157, 73]",184,157,73,722.65625,617.1875,289.0625
114,64,623.864,623.864,0.0,"[166, 28, 134]",166,28,134,652.34375,113.28125,527.34375
115,65,625.78,625.7793,0.0006999999999379725,"[204, 195, 59]",204,195,59,800.78125,765.625,234.375
116,66,627.696,627.69635,0.00035000000002582965,"[173, 164, 75]",173,164,75,679.6875,644.53125,296.875
117,67,629.612,629.61196,4.0000000012696546e-05,"[216, 175, 63]",216,175,63,847.65625,687.5,250.0
118,68,631.528,631.52801,9.999999974752427e-06,"[190, 30, 134]",190,30,134,746.09375,121.09375,527.34375
119,69,633.444,633.44381,0.00018999999997504347,"[163, 33, 133]",163,33,133,640.625,132.8125,523.4375
120,70,635.36,635.36005,4.999999998744897e-05,"[235, 131, 77]",235,131,77,921.875,515.625,304.6875
121,71,637.486,637.48605,4.999999998744897e-05,"[224, 54, 118]",224,54,118,878.90625,214.84375,464.84375
122,72,639.612,639.61227,0.00027000000000043656,"[219, 49, 122]",219,49,122,859.375,195.3125,480.46875
123,73,641.528,641.52818,0.00018000000000029104,"[125, 46, 129]",125,46,129,492.1875,183.59375,507.8125
124,74,643.444,643.44394,5.99999999622014e-05,"[253, 133, 76]",253,133,76,992.1875,523.4375,300.78125
125,75,645.36,645.35985,0.00014999999996234692,"[139, 24, 143]",139,24,143,546.875,97.65625,562.5
126,76,647.276,647.27587,0.00012999999989915523,"[197, 144, 81]",197,144,81,773.4375,566.40625,320.3125
127,77,649.192,649.19223,0.00022999999998774,"[251, 130, 79]",251,130,79,984.375,511.71875,312.5
128,78,651.108,651.1081,0.00010000000008858478,"[212, 80, 107]",212,80,107,832.03125,316.40625,421.875
129,79,652.784,652.7837,0.0003000000000383807,"[200, 91, 103]",200,91,103,785.15625,359.375,406.25
130,80,654.46,654.46002,1.9999999949504854e-05,"[231, 186, 63]",231,186,63,906.25,730.46875,250.0
131,81,656.365,656.36489,0.00011000000006333721,"[242, 62, 117]",242,62,117,949.21875,246.09375,460.9375
132,82,658.27,658.27009,9.000000000014552e-05,"[236, 112, 91]",236,112,91,925.78125,441.40625,359.375
133,83,660.175,660.17494,5.99999999622014e-05,"[233, 183, 65]",233,183,65,914.0625,718.75,257.8125
134,84,662.08,662.08022,0.00022000000001298758,"[194, 139, 87]",194,139,87,761.71875,546.875,343.75
135,85,663.985,663.98515,0.00014999999996234692,"[199, 1, 167]",199,1,167,781.25,7.8125,656.25
136,86,665.89,665.88989,0.00010999999994965037,"[129, 102, 112]",129,102,112,507.8125,402.34375,441.40625
137,87,667.795,667.79491,9.000000000014552e-05,"[240, 140, 81]",240,140,81,941.40625,550.78125,320.3125
138,88,669.7,669.70005,4.999999998744897e-05,"[239, 120, 90]",239,120,90,937.5,472.65625,355.46875
139,89,671.605,671.60457,0.00043000000005122274,"[126, 2, 168]",126,2,168,496.09375,11.71875,660.15625
140,90,673.51,673.50997,3.000000003794412e-05,"[226, 214, 61]",226,214,61,886.71875,839.84375,242.1875
141,91,675.409,675.40879,0.00021000000003823516,"[230, 198, 65]",230,198,65,902.34375,777.34375,257.8125
142,92,677.308,677.30806,5.99999999622014e-05,"[231, 161, 77]",231,161,77,906.25,632.8125,304.6875
143,93,679.207,679.20692,8.000000002539309e-05,"[225, 90, 108]",225,90,108,882.8125,355.46875,425.78125
144,94,681.106,681.10597,3.000000003794412e-05,"[185, 171, 84]",185,171,84,726.5625,671.875,332.03125
145,95,683.005,683.00514,0.0001399999999875945,"[254, 109, 97]",254,109,97,996.09375,429.6875,382.8125
146,96,684.904,684.904,0.0,"[170, 147, 95]",170,147,95,667.96875,578.125,375.0
147,97,686.803,686.80311,0.00010999999994965037,"[229, 195, 69]",229,195,69,898.4375,765.625,273.4375
148,98,688.702,688.70192,8.000000002539309e-05,"[251, 215, 59]",251,215,59,984.375,843.75,234.375
149,99,690.601,690.60106,5.99999999622014e-05,"[205, 152, 88]",205,152,88,804.6875,597.65625,347.65625
150,100,692.5,692.5,0.0,"[246, 77, 117]",246,77,117,964.84375,304.6875,460.9375
