temp,value
0,0.0
1,0.013
2,0.025
3,0.037
4,0.049
5,0.061
6,0.073
7,0.085
8,0.097
9,0.11
10,0.122
11,0.134
12,0.146
13,0.159
14,0.171
15,0.184
16,0.196
17,0.209
18,0.221
19,0.234
20,0.246
21,0.259
22,0.271
23,0.284
24,0.297
25,0.31
26,0.322
27,0.335
28,0.348
29,0.361
30,0.374
31,0.386
32,0.399
33,0.412
34,0.425
35,0.438
36,0.451
37,0.464
38,0.477
39,0.491
40,0.504
41,0.517
42,0.53
43,0.543
44,0.557
45,0.57
46,0.583
47,0.596
48,0.61
49,0.623
50,0.637
51,0.65
52,0.664
53,0.677
54,0.691
55,0.704
56,0.718
57,0.731
58,0.745
59,0.758
60,0.772
61,0.786
62,0.799
63,0.813
64,0.827
65,0.841
66,0.855
67,0.868
68,0.882
69,0.896
70,0.91
71,0.924
72,0.938
73,0.952
74,0.966
75,0.98
76,0.994
77,1.008
78,1.022
79,1.036
80,1.05
81,1.064
82,1.078
83,1.093
84,1.107
85,1.121
86,1.135
87,1.15
88,1.164
89,1.178
90,1.193
91,1.207
92,1.221
93,1.236
94,1.25
95,1.265
96,1.279
97,1.293
98,1.308
99,1.322
100,1.337
101,1.352
102,1.366
103,1.381
104,1.395
105,1.41
106,1.425
107,1.439
108,1.454
109,1.469
110,1.483
111,1.498
112,1.513
113,1.528
114,1.542
115,1.557
116,1.572
117,1.587
118,1.602
119,1.617
120,1.632
121,1.647
122,1.661
123,1.676
124,1.691
125,1.706
126,1.721
127,1.736
128,1.751
129,1.766
130,1.782
131,1.797
132,1.812
133,1.827
134,1.842
135,1.857
136,1.872
137,1.887
138,1.903
139,1.918
140,1.933
141,1.948
142,1.964
143,1.979
144,1.994
145,2.009
146,2.025
147,2.04
148,2.055
149,2.071
150,2.086
151,2.102
152,2.117
153,2.132
154,2.148
155,2.163
156,2.179
157,2.194
158,2.21
159,2.225
160,2.241
161,2.256
162,2.272
163,2.287
164,2.303
165,2.319
166,2.334
167,2.35
168,2.365
169,2.381
170,2.397
171,2.412
172,2.428
173,2.444
174,2.459
175,2.475
176,2.491
177,2.507
178,2.522
179,2.538
180,2.554
181,2.57
182,2.585
183,2.601
184,2.617
185,2.633
186,2.649
187,2.665
188,2.68
189,2.696
190,2.712
191,2.728
192,2.744
193,2.76
194,2.776
195,2.792
196,2.808
197,2.824
198,2.84
199,2.856
200,2.872
201,2.888
202,2.904
203,2.92
204,2.936
205,2.952
206,2.968
207,2.984
208,3.0
209,3.016
210,3.032
211,3.048
212,3.064
213,3.081
214,3.097
215,3.113
216,3.129
217,3.145
218,3.161
219,3.177
220,3.194
221,3.21
222,3.226
223,3.242
224,3.259
225,3.275
226,3.291
227,3.307
228,3.324
229,3.34
230,3.356
231,3.372
232,3.389
233,3.405
234,3.421
235,3.438
236,3.454
237,3.47
238,3.487
239,3.503
240,3.519
241,3.536
242,3.552
243,3.568
244,3.585
245,3.601
246,3.618
247,3.634
248,3.65
249,3.667
250,3.683
251,3.7
252,3.716
253,3.733
254,3.749
255,3.766
256,3.782
257,3.799
258,3.815
259,3.832
260,3.848
261,3.865
262,3.881
263,3.898
264,3.914
265,3.931
266,3.947
267,3.964
268,3.98
269,3.997
270,4.013
271,4.03
272,4.047
273,4.063
274,4.08
275,4.096
276,4.113
277,4.13
278,4.146
279,4.163
280,4.179
281,4.196
282,4.213
283,4.229
284,4.246
285,4.263
286,4.279
287,4.296
288,4.313
289,4.329
290,4.346
291,4.363
292,4.379
293,4.396
294,4.413
295,4.43
296,4.446
297,4.463
298,4.48
299,4.496
300,4.513
301,4.53
302,4.547
303,4.563
304,4.58
305,4.597
306,4.614
307,4.63
308,4.647
309,4.664
310,4.681
311,4.697
312,4.714
313,4.731
314,4.748
315,4.765
316,4.781
317,4.798
318,4.815
319,4.832
320,4.849
321,4.866
322,4.882
323,4.899
324,4.916
325,4.933
326,4.95
327,4.967
