T,R
-50,401.57
-49,403.551
-48,405.532
-47,407.513
-46,409.494
-45,411.475
-44,413.456
-43,415.437
-42,417.418
-41,419.399
-40,421.38
-39,423.354
-38,425.328
-37,427.302
-36,429.276
-35,431.25
-34,433.224
-33,435.198
-32,437.172
-31,439.146
-30,441.12
-29,443.088
-28,445.056
-27,447.024
-26,448.992
-25,450.96
-24,452.928
-23,454.896
-22,456.864
-21,458.832
-20,460.8
-19,462.763
-18,464.726
-17,466.689
-16,468.652
-15,470.615
-14,472.578
-13,474.541
-12,476.504
-11,478.467
-10,480.43
-9 ,482.387
-8 ,484.344
-7 ,486.301
-6 ,488.258
-5 ,490.215
-4 ,492.172
-3 ,494.129
-2 ,496.086
-1 ,498.043
0  ,500.0
1  ,501.951
2  ,503.902
3  ,505.853
4  ,507.804
5  ,509.755
6  ,511.706
7  ,513.657
8  ,515.608
9  ,517.559
10 ,519.51
11 ,521.455
12 ,523.4
13 ,525.345
14 ,527.29
15 ,529.235
16 ,531.18
17 ,533.125
18 ,535.07
19 ,537.015
20 ,538.96
21 ,540.9
22 ,542.84
23 ,544.78
24 ,546.72
25 ,548.66
26 ,550.6
27 ,552.54
28 ,554.48
29 ,556.42
30 ,558.36
31 ,560.294
32 ,562.228
33 ,564.162
34 ,566.096
35 ,568.03
36 ,569.964
37 ,571.898
38 ,573.832
39 ,575.766
40 ,577.7
41 ,579.628
42 ,581.556
43 ,583.484
44 ,585.412
45 ,587.34
46 ,589.268
47 ,591.196
48 ,593.124
49 ,595.052
50 ,596.98
51 ,598.902
52 ,600.824
53 ,602.746
54 ,604.668
55 ,606.59
56 ,608.512
57 ,610.434
58 ,612.356
59 ,614.278
60 ,616.2
61 ,618.116
62 ,620.032
63 ,621.948
64 ,623.864
65 ,625.78
66 ,627.696
67 ,629.612
68 ,631.528
69 ,633.444
70 ,635.36
71 ,637.486
72 ,639.612
73 ,641.528
74 ,643.444
75 ,645.36
76 ,647.276
77 ,649.192
78 ,651.108
79 ,652.784
80 ,654.46
81 ,656.365
82 ,658.27
83 ,660.175
84 ,662.08
85 ,663.985
86 ,665.89
87 ,667.795
88 ,669.7
89 ,671.605
90 ,673.51
91 ,675.409
92 ,677.308
93 ,679.207
94 ,681.106
95 ,683.005
96 ,684.904
97 ,686.803
98 ,688.702
99 ,690.601
100,692.5
