temp,value
-180,20.53
-179,20.99
-178,21.44
-177,21.9
-176,22.36
-175,22.82
-174,23.27
-173,23.73
-172,24.19
-171,24.64
-170,25.1
-169,25.56
-168,26.01
-167,26.47
-166,26.92
-165,27.38
-164,27.83
-163,28.29
-162,28.74
-161,29.2
-160,29.65
-159,30.1
-158,30.56
-157,31.01
-156,31.46
-155,31.92
-154,32.37
-153,32.82
-152,33.27
-151,33.73
-150,34.18
-149,34.63
-148,35.08
-147,35.53
-146,35.99
-145,36.44
-144,36.89
-143,37.34
-142,37.79
-141,38.24
-140,38.69
-139,39.14
-138,39.59
-137,40.04
-136,40.49
-135,40.94
-134,41.38
-133,41.83
-132,42.28
-131,42.73
-130,43.18
-129,43.63
-128,44.07
-127,44.52
-126,44.97
-125,45.42
-124,45.86
-123,46.31
-122,46.76
-121,47.2
-120,47.65
-119,48.1
-118,48.54
-117,48.99
-116,49.43
-115,49.88
-114,50.32
-113,50.77
-112,51.21
-111,51.66
-110,52.1
-109,52.55
-108,52.99
-107,53.43
-106,53.88
-105,54.32
-104,54.76
-103,55.21
-102,55.65
-101,56.09
-100,56.54
-99,56.98
-98,57.42
-97,57.86
-96,58.3
-95,58.75
-94,59.19
-93,59.63
-92,60.07
-91,60.51
-90,60.95
-89,61.39
-88,61.83
-87,62.27
-86,62.71
-85,63.15
-84,63.59
-83,64.03
-82,64.47
-81,64.91
-80,65.35
-79,65.79
-78,66.23
-77,66.67
-76,67.11
-75,67.55
-74,67.98
-73,68.42
-72,68.86
-71,69.3
-70,69.74
-69,70.17
-68,70.61
-67,71.05
-66,71.48
-65,71.92
-64,72.36
-63,72.79
-62,73.23
-61,73.67
-60,74.1
-59,74.54
-58,74.97
-57,75.41
-56,75.85
-55,76.28
-54,76.72
-53,77.15
-52,77.59
-51,78.02
-50,78.46
-49,78.89
-48,79.32
-47,79.76
-46,80.19
-45,80.63
-44,81.06
-43,81.49
-42,81.93
-41,82.36
-40,82.79
-39,83.22
-38,83.66
-37,84.09
-36,84.52
-35,84.95
-34,85.39
-33,85.82
-32,86.25
-31,86.68
-30,87.11
-29,87.55
-28,87.98
-27,88.41
-26,88.84
-25,89.27
-24,89.7
-23,90.13
-22,90.56
-21,90.99
-20,91.42
-19,91.85
-18,92.28
-17,92.71
-16,93.14
-15,93.57
-14,94.0
-13,94.43
-12,94.86
-11,95.29
-10,95.72
-9,96.15
-8,96.58
-7,97.0
-6,97.43
-5,97.86
-4,98.29
-3,98.72
-2,99.14
-1,99.57
0,100.0
1,100.43
2,100.86
3,101.28
4,101.71
5,102.14
6,102.57
7,103.0
8,103.42
9,103.85
10,104.28
11,104.71
12,105.14
13,105.56
14,105.99
15,106.42
16,106.85
17,107.28
18,107.7
19,108.13
20,108.56
21,108.99
22,109.42
23,109.84
24,110.27
25,110.7
26,111.13
27,111.56
28,111.98
29,112.41
30,112.84
31,113.27
32,113.7
33,114.12
34,114.55
35,114.98
36,115.41
37,115.84
38,116.26
39,116.69
40,117.12
41,117.55
42,117.98
43,118.4
44,118.83
45,119.26
46,119.69
47,120.12
48,120.54
49,120.97
50,121.4
51,121.83
52,122.26
53,122.68
54,123.11
55,123.54
56,123.97
57,124.4
58,124.82
59,125.25
60,125.68
61,126.11
62,126.54
63,126.96
64,127.39
65,127.82
66,128.25
67,128.68
68,129.1
69,129.53
70,129.96
71,130.39
72,130.82
73,131.24
74,131.67
75,132.1
76,132.53
77,132.96
78,133.38
79,133.81
80,134.24
81,134.67
82,135.1
83,135.52
84,135.95
85,136.38
86,136.81
87,137.24
88,137.66
89,138.09
90,138.52
91,138.95
92,139.38
93,139.8
94,140.23
95,140.66
96,141.09
97,141.52
98,141.94
99,142.37
100,142.8
101,143.23
102,143.66
103,144.08
104,144.51
105,144.94
106,145.37
107,145.8
108,146.22
109,146.65
110,147.08
111,147.51
112,147.94
113,148.36
114,148.79
115,149.22
116,149.65
117,150.08
118,150.5
119,150.93
120,151.36
121,151.79
122,152.22
123,152.64
124,153.07
125,153.5
126,153.93
127,154.36
128,154.78
129,155.21
130,155.64
131,156.07
132,156.5
133,156.92
134,157.35
135,157.78
136,158.21
137,158.64
138,159.06
139,159.49
140,159.92
141,160.35
142,160.78
143,161.2
144,161.63
145,162.06
146,162.49
147,162.92
148,163.34
149,163.77
150,164.2
151,164.63
152,165.06
153,165.48
154,165.91
155,166.34
156,166.77
157,167.2
158,167.62
159,168.05
160,168.48
161,168.91
162,169.34
163,169.76
164,170.19
165,170.62
166,171.05
167,171.48
168,171.9
169,172.33
170,172.76
171,173.19
172,173.62
173,174.04
174,174.47
175,174.9
176,175.33
177,175.76
178,176.18
179,176.61
180,177.04
181,177.47
182,177.9
183,178.32
184,178.75
185,179.18
186,179.61
187,180.04
188,180.46
189,180.89
190,181.32
191,181.75
192,182.18
193,182.6
194,183.03
195,183.46
196,183.89
197,184.32
198,184.74
199,185.17
200,185.6
