temp,value
0,0.0
1,0.012
2,0.023
3,0.035
4,0.047
5,0.059
6,0.071
7,0.082
8,0.094
9,0.106
10,0.118
11,0.13
12,0.143
13,0.155
14,0.167
15,0.179
16,0.191
17,0.204
18,0.216
19,0.228
20,0.241
21,0.253
22,0.266
23,0.278
24,0.291
25,0.304
26,0.316
27,0.329
28,0.342
29,0.354
30,0.367
31,0.38
32,0.393
33,0.406
34,0.419
35,0.432
36,0.445
37,0.458
38,0.471
39,0.484
40,0.497
41,0.51
42,0.523
43,0.537
44,0.55
45,0.563
46,0.576
47,0.59
48,0.603
49,0.617
50,0.63
51,0.643
52,0.657
53,0.671
54,0.684
55,0.698
56,0.711
57,0.725
58,0.739
59,0.752
60,0.766
61,0.78
62,0.794
63,0.808
64,0.821
65,0.835
66,0.849
67,0.863
68,0.877
69,0.891
70,0.905
71,0.919
72,0.933
73,0.947
74,0.962
75,0.976
76,0.99
77,1.004
78,1.018
79,1.033
80,1.047
81,1.061
82,1.076
83,1.09
84,1.104
85,1.119
86,1.133
87,1.148
88,1.162
89,1.177
90,1.191
91,1.206
92,1.22
93,1.235
94,1.25
95,1.264
96,1.279
97,1.294
98,1.308
99,1.323
100,1.338
101,1.353
102,1.367
103,1.382
104,1.397
105,1.412
106,1.427
107,1.442
108,1.457
109,1.472
110,1.487
111,1.502
112,1.517
113,1.532
114,1.547
115,1.562
116,1.577
117,1.592
118,1.607
119,1.622
120,1.637
121,1.653
122,1.668
123,1.683
124,1.698
125,1.714
126,1.729
127,1.744
128,1.759
129,1.775
130,1.79
131,1.806
132,1.821
133,1.836
134,1.852
135,1.867
136,1.883
137,1.898
138,1.914
139,1.929
140,1.945
141,1.96
142,1.976
143,1.991
144,2.007
145,2.022
146,2.038
147,2.054
148,2.069
149,2.085
150,2.101
151,2.116
152,2.132
153,2.148
154,2.164
155,2.179
156,2.195
157,2.211
158,2.227
159,2.243
160,2.258
161,2.274
162,2.29
163,2.306
164,2.322
165,2.338
166,2.354
167,2.37
168,2.385
169,2.401
170,2.417
171,2.433
172,2.449
173,2.465
174,2.481
175,2.497
176,2.513
177,2.529
178,2.546
179,2.562
180,2.578
181,2.594
182,2.61
183,2.626
184,2.642
185,2.658
186,2.674
187,2.691
188,2.707
189,2.723
190,2.739
191,2.755
192,2.772
193,2.788
194,2.804
195,2.82
196,2.837
197,2.853
198,2.869
199,2.885
200,2.902
201,2.918
202,2.934
203,2.951
204,2.967
205,2.983
206,3.0
207,3.016
208,3.033
209,3.049
210,3.065
211,3.082
212,3.098
213,3.115
214,3.131
215,3.147
216,3.164
217,3.18
218,3.197
219,3.213
220,3.23
221,3.246
222,3.263
223,3.279
224,3.296
