temp,value
532,1.329
533,1.333
534,1.334
535,1.339
536,1.344
537,1.345
538,1.35
539,1.355
540,1.357
541,1.36
542,1.365
543,1.368
544,1.371
545,1.376
546,1.38
547,1.381
548,1.387
549,1.392
550,1.397
551,1.402
552,1.403
553,1.408
554,1.413
555,1.415
556,1.418
557,1.424
558,1.427
559,1.429
560,1.435
561,1.438
562,1.44
563,1.445
564,1.45
565,1.451
566,1.456
567,1.462
568,1.467
569,1.472
570,1.474
571,1.478
572,1.483
573,1.485
574,1.489
575,1.494
576,1.497
577,1.5
578,1.505
579,1.509
580,1.511
581,1.516
582,1.52
583,1.522
584,1.527
585,1.532
586,1.533
587,1.539
588,1.544
589,1.55
590,1.555
591,1.561
592,1.566
593,1.567
594,1.572
595,1.578
596,1.579
597,1.583
598,1.589
599,1.591
600,1.595
601,1.6
602,1.602
603,1.606
604,1.612
605,1.614
606,1.617
607,1.623
608,1.626
609,1.629
610,1.634
611,1.637
612,1.64
613,1.646
614,1.649
615,1.652
616,1.657
617,1.661
618,1.663
619,1.669
620,1.673
621,1.675
622,1.68
623,1.684
624,1.686
625,1.692
626,1.696
627,1.698
628,1.704
629,1.708
630,1.709
631,1.715
632,1.719
633,1.721
634,1.727
635,1.731
636,1.733
637,1.739
638,1.743
639,1.745
640,1.75
641,1.754
642,1.756
643,1.762
644,1.766
645,1.768
646,1.774
647,1.778
648,1.78
649,1.786
650,1.79
651,1.792
652,1.798
653,1.801
654,1.804
655,1.81
656,1.813
657,1.816
658,1.822
659,1.825
660,1.828
661,1.834
662,1.836
663,1.84
664,1.846
665,1.848
666,1.852
667,1.858
668,1.86
669,1.864
670,1.87
671,1.871
672,1.876
673,1.882
674,1.883
675,1.888
676,1.894
677,1.895
678,1.901
679,1.907
680,1.913
681,1.918
682,1.919
683,1.925
684,1.93
685,1.931
686,1.937
687,1.942
688,1.944
689,1.95
690,1.953
691,1.956
692,1.962
693,1.965
694,1.968
695,1.975
696,1.977
697,1.981
698,1.987
699,1.988
700,1.993
701,1.999
702,2.0
703,2.006
704,2.012
705,2.018
706,2.024
707,2.025
708,2.031
709,2.035
710,2.037
711,2.043
712,2.047
713,2.05
714,2.056
715,2.059
716,2.062
717,2.069
718,2.07
719,2.075
720,2.082
721,2.088
722,2.094
723,2.101
724,2.105
725,2.107
726,2.113
727,2.117
728,2.12
729,2.126
730,2.129
731,2.133
732,2.139
733,2.141
734,2.146
735,2.152
736,2.158
737,2.164
738,2.165
739,2.171
740,2.176
741,2.178
742,2.184
743,2.187
744,2.191
745,2.197
746,2.199
747,2.204
748,2.21
749,2.211
750,2.217
751,2.222
752,2.224
753,2.23
754,2.234
755,2.237
756,2.243
757,2.246
758,2.25
759,2.256
760,2.257
761,2.263
762,2.269
763,2.27
764,2.276
765,2.281
766,2.283
767,2.289
768,2.292
769,2.296
770,2.303
771,2.304
772,2.309
773,2.316
774,2.323
775,2.327
776,2.329
777,2.336
778,2.339
779,2.343
780,2.35
781,2.351
782,2.356
783,2.363
