code,voltage
0,0.0008056640625
1,0.001611328125
2,0.0024169921874999
3,0.00322265625
4,0.0040283203125
5,0.004833984375
6,0.0056396484374999
7,0.0064453125
8,0.0072509765625
9,0.008056640625
10,0.0088623046875
11,0.0096679687499999
12,0.0104736328124999
13,0.0112792968749999
14,0.0120849609374999
15,0.012890625
16,0.0136962890624999
17,0.0145019531249999
18,0.0153076171874999
19,0.01611328125
20,0.0169189453125
21,0.017724609375
22,0.0185302734374999
23,0.0193359374999999
24,0.0201416015624999
25,0.020947265625
26,0.0217529296875
27,0.0225585937499999
28,0.0233642578124999
29,0.0241699218749999
30,0.0249755859375
31,0.02578125
32,0.0265869140624999
33,0.0273925781249999
34,0.0281982421874999
35,0.02900390625
36,0.0298095703125
37,0.0306152343749999
38,0.0314208984375
39,0.0322265625
40,0.0330322265625
41,0.033837890625
42,0.0346435546875
43,0.03544921875
44,0.0362548828125
45,0.037060546875
46,0.0378662109375
47,0.038671875
48,0.0394775390625
49,0.040283203125
50,0.0410888671875
51,0.04189453125
52,0.0427001953125
53,0.043505859375
54,0.0443115234375
55,0.0451171875
56,0.0459228515625
57,0.046728515625
58,0.0475341796875
59,0.04833984375
60,0.0491455078125
61,0.049951171875
62,0.0507568359375
63,0.0515625
64,0.0523681640625
65,0.053173828125
66,0.0539794921875
67,0.05478515625
68,0.0555908203125
69,0.056396484375
70,0.0572021484375
71,0.0580078125
72,0.0588134765625
73,0.059619140625
74,0.0604248046875
75,0.06123046875
76,0.0620361328125
77,0.062841796875
78,0.0636474609375
79,0.064453125
80,0.0652587890625
81,0.066064453125
82,0.0668701171875
83,0.06767578125
84,0.0684814453125
85,0.069287109375
86,0.0700927734375
87,0.0708984375
88,0.0717041015625
89,0.072509765625
90,0.0733154296875
91,0.07412109375
92,0.0749267578125
93,0.075732421875
94,0.0765380859375
95,0.07734375
96,0.0781494140624999
97,0.078955078125
98,0.0797607421875
99,0.08056640625
100,0.0813720703125
101,0.0821777343749999
102,0.0829833984375
103,0.0837890625
104,0.0845947265625
105,0.085400390625
106,0.0862060546874999
107,0.08701171875
108,0.0878173828125
109,0.088623046875
110,0.0894287109375
111,0.0902343749999999
112,0.0910400390625
113,0.091845703125
114,0.0926513671875
115,0.09345703125
116,0.0942626953124999
117,0.095068359375
118,0.0958740234375
119,0.0966796875
120,0.0974853515625
121,0.0982910156249999
122,0.0990966796875
123,0.09990234375
124,0.1007080078125
125,0.101513671875
126,0.1023193359374999
127,0.103125
128,0.1039306640625
129,0.104736328125
130,0.1055419921875
131,0.1063476562499999
132,0.1071533203125
133,0.107958984375
134,0.1087646484375
135,0.1095703125
136,0.1103759765624999
137,0.111181640625
138,0.1119873046875
139,0.11279296875
140,0.1135986328125
141,0.1144042968749999
142,0.1152099609375
143,0.116015625
144,0.1168212890625
145,0.117626953125
146,0.1184326171874999
147,0.11923828125
148,0.1200439453125
149,0.120849609375
150,0.1216552734375
151,0.1224609374999999
152,0.1232666015625
153,0.124072265625
154,0.1248779296875
155,0.12568359375
156,0.1264892578124999
157,0.127294921875
158,0.1281005859374999
159,0.1289062499999999
160,0.1297119140625
161,0.1305175781249999
162,0.1313232421875
163,0.1321289062499999
164,0.1329345703124999
165,0.133740234375
166,0.1345458984374999
167,0.1353515625
168,0.1361572265624999
169,0.1369628906249999
170,0.1377685546875
171,0.1385742187499999
172,0.1393798828125
173,0.1401855468749999
174,0.1409912109374999
175,0.141796875
176,0.1426025390624999
177,0.143408203125
178,0.1442138671874999
179,0.1450195312499999
180,0.1458251953125
181,0.1466308593749999
182,0.1474365234375
183,0.1482421874999999
184,0.1490478515624999
185,0.149853515625
186,0.1506591796874999
187,0.15146484375
188,0.1522705078124999
189,0.1530761718749999
190,0.1538818359375
191,0.1546874999999999
192,0.1554931640624999
193,0.1562988281249999
194,0.1571044921874999
195,0.15791015625
196,0.1587158203124999
197,0.1595214843749999
198,0.1603271484374999
199,0.1611328124999999
200,0.1619384765625
201,0.1627441406249999
202,0.1635498046874999
203,0.1643554687499999
204,0.1651611328124999
205,0.165966796875
206,0.1667724609374999
207,0.1675781249999999
208,0.1683837890624999
209,0.1691894531249999
210,0.1699951171875
211,0.1708007812499999
212,0.1716064453124999
213,0.1724121093749999
214,0.1732177734374999
215,0.1740234375
216,0.1748291015624999
217,0.1756347656249999
218,0.1764404296874999
219,0.1772460937499999
220,0.1780517578125
221,0.1788574218749999
222,0.1796630859374999
223,0.1804687499999999
224,0.1812744140624999
225,0.182080078125
226,0.1828857421874999
227,0.1836914062499999
228,0.1844970703124999
229,0.1853027343749999
230,0.1861083984375
231,0.1869140624999999
232,0.1877197265624999
233,0.1885253906249999
234,0.1893310546874999
235,0.19013671875
236,0.1909423828124999
237,0.1917480468749999
238,0.1925537109374999
239,0.1933593749999999
240,0.1941650390625
241,0.1949707031249999
242,0.1957763671874999
243,0.1965820312499999
244,0.1973876953124999
245,0.198193359375
246,0.1989990234374999
247,0.1998046874999999
248,0.2006103515624999
249,0.2014160156249999
250,0.2022216796875
251,0.2030273437499999
252,0.2038330078124999
253,0.2046386718749999
254,0.2054443359374999
255,0.20625
256,0.2070556640624999
257,0.2078613281249999
258,0.2086669921874999
259,0.2094726562499999
260,0.2102783203125
261,0.2110839843749999
262,0.2118896484374999
263,0.2126953124999999
264,0.2135009765624999
265,0.214306640625
266,0.2151123046874999
267,0.2159179687499999
268,0.2167236328124999
269,0.2175292968749999
270,0.2183349609375
271,0.2191406249999999
272,0.2199462890624999
273,0.2207519531249999
274,0.2215576171874999
275,0.22236328125
