temp,value
465,2.277
466,2.287
467,2.288
468,2.296
469,2.3
470,2.305
471,2.312
472,2.314
473,2.323
474,2.324
475,2.332
476,2.336
477,2.341
478,2.348
479,2.35
480,2.36
481,2.369
482,2.372
483,2.378
484,2.384
485,2.387
486,2.396
487,2.397
488,2.405
489,2.409
490,2.415
491,2.421
492,2.424
493,2.433
494,2.442
495,2.445
496,2.451
497,2.457
498,2.461
499,2.469
500,2.47
501,2.479
502,2.481
503,2.488
504,2.493
505,2.497
506,2.505
507,2.507
508,2.516
509,2.517
510,2.525
511,2.529
512,2.534
513,2.542
514,2.544
515,2.553
516,2.554
517,2.562
518,2.566
519,2.571
520,2.578
521,2.581
522,2.59
523,2.599
524,2.602
525,2.609
526,2.614
527,2.618
528,2.626
529,2.627
530,2.636
531,2.638
532,2.646
533,2.65
534,2.655
535,2.662
536,2.664
537,2.674
538,2.675
539,2.683
540,2.687
541,2.692
542,2.699
543,2.702
544,2.711
545,2.72
546,2.723
547,2.73
548,2.735
549,2.739
550,2.747
551,2.748
552,2.758
553,2.759
554,2.767
555,2.771
556,2.776
557,2.783
558,2.786
559,2.795
560,2.796
561,2.805
562,2.808
563,2.814
564,2.82
565,2.823
566,2.832
567,2.833
568,2.842
569,2.844
570,2.851
571,2.856
572,2.861
573,2.868
574,2.87
575,2.88
576,2.889
577,2.892
578,2.899
579,2.905
580,2.908
581,2.917
582,2.927
583,2.929
584,2.936
585,2.941
586,2.946
587,2.953
588,2.955
589,2.965
590,2.974
591,2.977
592,2.983
593,2.989
594,2.993
595,3.001
596,3.002
597,3.012
598,3.014
599,3.021
600,3.026
601,3.031
602,3.038
603,3.04
604,3.05
605,3.059
606,3.062
607,3.069
608,3.074
609,3.078
610,3.086
611,3.088
612,3.097
613,3.098
614,3.107
615,3.111
616,3.116
617,3.123
618,3.126
619,3.135
620,3.145
621,3.147
622,3.154
623,3.159
624,3.164
625,3.171
626,3.173
627,3.183
628,3.192
629,3.195
630,3.202
631,3.208
632,3.212
633,3.22
634,3.221
635,3.231
636,3.232
637,3.24
638,3.244
639,3.25
640,3.256
641,3.259
642,3.268
643,3.269
644,3.279
645,3.28
646,3.288
647,3.292
648,3.298
649,3.305
650,3.307
651,3.317
652,3.326
653,3.329
654,3.336
655,3.341
656,3.346
657,3.353
658,3.355
659,3.365
660,3.374
661,3.377
662,3.384
663,3.39
664,3.394
665,3.402
666,3.403
667,3.413
668,3.414
669,3.423
670,3.426
671,3.432
672,3.438
673,3.442
674,3.45
675,3.451
676,3.461
677,3.462
678,3.471
679,3.474
680,3.48
681,3.487
682,3.49
683,3.499
684,3.5
685,3.509
686,3.511
687,3.519
688,3.523
689,3.529
690,3.535
691,3.538
692,3.547
693,3.548
694,3.558
695,3.559
696,3.567
697,3.572
698,3.577
699,3.584
700,3.587
701,3.596
702,3.606
703,3.608
704,3.616
705,3.62
706,3.626
707,3.632
708,3.635
709,3.644
710,3.645
711,3.655
712,3.657
713,3.664
714,3.669
715,3.674
716,3.681
717,3.684
718,3.693
719,3.694
720,3.703
721,3.705
722,3.713
723,3.717
724,3.723
725,3.729
726,3.732
727,3.742
728,3.752
729,3.754
730,3.762
