temp,value
532,8.366
533,8.383
534,8.399
535,8.416
536,8.433
537,8.45
538,8.467
539,8.483
540,8.5
541,8.517
542,8.534
543,8.551
544,8.567
545,8.584
546,8.601
547,8.618
548,8.635
549,8.651
550,8.668
551,8.685
552,8.702
553,8.719
554,8.735
555,8.752
556,8.769
557,8.786
558,8.803
559,8.819
560,8.836
561,8.853
562,8.87
563,8.886
564,8.903
565,8.92
566,8.937
567,8.953
568,8.97
569,8.987
570,9.004
571,9.021
572,9.037
573,9.054
574,9.071
575,9.088
576,9.104
577,9.121
578,9.138
579,9.155
580,9.171
581,9.188
582,9.205
583,9.222
584,9.238
585,9.255
586,9.272
587,9.289
588,9.305
589,9.322
590,9.339
591,9.355
592,9.372
593,9.389
594,9.406
595,9.422
596,9.439
597,9.456
598,9.473
599,9.489
600,9.506
601,9.523
602,9.539
603,9.556
604,9.573
605,9.59
606,9.606
607,9.623
608,9.64
609,9.656
610,9.673
611,9.69
612,9.706
613,9.723
614,9.74
615,9.757
616,9.773
617,9.79
618,9.807
619,9.823
620,9.84
621,9.857
622,9.873
623,9.89
624,9.907
625,9.923
626,9.94
627,9.957
628,9.973
629,9.99
630,10.007
631,10.023
632,10.04
633,10.057
634,10.073
635,10.09
636,10.107
637,10.123
638,10.14
639,10.157
640,10.173
641,10.19
642,10.207
643,10.223
644,10.24
645,10.256
646,10.273
647,10.29
648,10.306
649,10.323
650,10.34
651,10.356
652,10.373
653,10.389
654,10.406
655,10.423
656,10.439
657,10.456
658,10.472
659,10.489
660,10.506
661,10.522
662,10.539
663,10.555
664,10.572
665,10.589
666,10.605
667,10.622
668,10.638
669,10.655
670,10.672
671,10.688
672,10.705
673,10.721
674,10.738
675,10.754
676,10.771
677,10.788
678,10.804
679,10.821
680,10.837
681,10.854
682,10.87
683,10.887
684,10.903
685,10.92
686,10.937
687,10.953
688,10.97
689,10.986
690,11.003
691,11.019
692,11.036
693,11.052
694,11.069
695,11.085
696,11.102
697,11.118
698,11.135
699,11.151
700,11.168
701,11.184
702,11.201
703,11.217
704,11.234
705,11.25
706,11.267
707,11.283
708,11.3
709,11.316
710,11.333
711,11.349
712,11.366
713,11.382
714,11.399
715,11.415
