T,R
-50,40.16
-49,40.36
-48,40.56
-47,40.75
-46,40.95
-45,41.15
-44,41.35
-43,41.55
-42,41.74
-41,41.94
-40,42.14
-39,42.34
-38,42.53
-37,42.73
-36,42.93
-35,43.12
-34,43.32
-33,43.52
-32,43.72
-31,43.91
-30,44.11
-29,44.31
-28,44.50
-27,44.70
-26,44.90
-25,45.09
-24,45.29
-23,45.49
-22,45.69
-21,45.88
-20,46.08
-19,46.28
-18,46.47
-17,46.67
-16,46.86
-15,47.06
-14,47.26
-13,47.45
-12,47.65
-11,47.84
-10,48.04
-9,48.24
-8,48.43
-7,48.63
-6,48.82
-5,49.02
-4,49.22
-3,49.41
-2,49.61
-1,49.80
0,50.00
1,50.20
2,50.39
3,50.59
4,50.78
5,50.98
6,51.17
7,51.37
8,51.56
9,51.76
10,51.95
11,52.15
12,52.34
13,52.53
14,52.73
15,52.92
16,53.12
17,53.31
18,53.51
19,53.70
20,53.90
21,54.09
22,54.29
23,54.48
24,54.68
25,54.87
26,55.06
27,55.26
28,55.45
29,55.65
30,55.84
31,56.03
32,56.23
33,56.42
34,56.61
35,56.80
36,57.00
37,57.19
38,57.38
39,57.58
40,57.77
41,57.96
42,58.16
43,58.35
44,58.54
45,58.73
46,58.93
47,59.12
48,59.31
49,59.51
50,59.70
51,59.89
52,60.08
53,60.28
54,60.47
55,60.66
56,60.85
57,61.04
58,61.24
59,61.43
60,61.62
61,61.81
62,62.00
63,62.20
64,62.39
65,62.58
66,62.77
67,62.96
68,63.16
69,63.35
70,63.54
71,63.73
72,63.92
73,64.11
74,64.30
75,64.50
76,64.69
77,64.88
78,65.07
79,65.26
80,65.45
81,65.64
82,65.83
83,66.02
84,66.21
85,66.40
86,66.59
87,66.78
88,66.97
89,67.16
90,67.35
91,67.54
92,67.73
93,67.92
94,68.11
95,68.30
96,68.49
97,68.68
98,68.87
99,69.06
100,69.25
