temp,value
465,2.013
466,2.017
467,2.027
468,2.036
469,2.041
470,2.046
471,2.054
472,2.055
473,2.064
474,2.068
475,2.074
476,2.082
477,2.083
478,2.093
479,2.096
480,2.102
481,2.109
482,2.112
483,2.121
484,2.123
485,2.131
486,2.137
487,2.14
488,2.15
489,2.159
490,2.164
491,2.169
492,2.178
493,2.179
494,2.188
495,2.191
496,2.198
497,2.205
498,2.207
499,2.217
500,2.219
501,2.226
502,2.233
503,2.236
504,2.246
505,2.255
506,2.26
507,2.265
508,2.274
509,2.275
510,2.284
511,2.288
512,2.294
513,2.301
514,2.304
515,2.313
516,2.315
517,2.323
518,2.329
519,2.333
520,2.342
521,2.352
522,2.356
523,2.362
524,2.37
525,2.371
526,2.381
527,2.384
528,2.391
529,2.397
530,2.401
531,2.41
532,2.411
533,2.42
534,2.425
535,2.43
536,2.439
537,2.44
538,2.449
539,2.453
540,2.459
541,2.466
542,2.469
543,2.479
544,2.48
545,2.488
546,2.494
547,2.498
548,2.508
549,2.518
550,2.521
551,2.528
552,2.535
553,2.538
554,2.547
555,2.549
556,2.557
557,2.563
558,2.567
559,2.577
560,2.587
561,2.59
562,2.597
563,2.604
564,2.607
565,2.617
566,2.618
567,2.626
568,2.632
569,2.636
570,2.646
571,2.656
572,2.659
573,2.666
574,2.673
575,2.676
576,2.686
577,2.687
578,2.696
579,2.701
580,2.706
581,2.715
582,2.716
583,2.726
584,2.729
585,2.736
586,2.742
587,2.746
588,2.756
589,2.766
590,2.77
591,2.776
592,2.784
593,2.786
594,2.796
595,2.798
596,2.806
597,2.812
598,2.816
599,2.825
600,2.826
601,2.836
602,2.839
603,2.846
604,2.853
605,2.856
606,2.866
607,2.867
608,2.876
609,2.881
610,2.886
611,2.895
612,2.896
613,2.906
614,2.909
615,2.916
616,2.922
617,2.926
618,2.936
619,2.937
620,2.947
621,2.95
622,2.957
623,2.964
624,2.967
625,2.977
626,2.978
627,2.987
628,2.992
629,2.997
630,3.006
631,3.007
632,3.018
633,3.019
634,3.028
635,3.033
636,3.038
637,3.047
638,3.048
639,3.058
640,3.061
641,3.068
642,3.075
643,3.079
644,3.089
645,3.099
646,3.103
647,3.109
648,3.117
649,3.119
650,3.13
651,3.131
652,3.14
653,3.145
654,3.15
655,3.158
656,3.16
657,3.171
658,3.172
659,3.181
660,3.186
661,3.191
662,3.2
663,3.201
664,3.212
665,3.214
666,3.222
667,3.228
668,3.232
669,3.242
670,3.253
671,3.256
672,3.263
673,3.27
674,3.273
675,3.284
676,3.294
677,3.298
678,3.304
679,3.311
680,3.315
681,3.325
682,3.335
683,3.339
684,3.346
685,3.353
686,3.356
687,3.366
688,3.367
689,3.377
690,3.381
691,3.387
692,3.395
693,3.397
694,3.408
695,3.409
696,3.418
697,3.423
698,3.428
699,3.437
700,3.439
701,3.449
702,3.451
703,3.46
704,3.465
705,3.47
706,3.479
707,3.48
708,3.491
709,3.493
710,3.501
711,3.507
712,3.512
713,3.521
714,3.522
715,3.533
716,3.535
717,3.543
718,3.549
719,3.553
720,3.563
721,3.564
722,3.574
723,3.577
724,3.585
725,3.59
726,3.595
727,3.604
728,3.606
729,3.616
730,3.618
731,3.627
732,3.632
733,3.637
734,3.646
735,3.648
736,3.658
737,3.66
738,3.669
739,3.674
740,3.679
741,3.688
742,3.69
743,3.7
744,3.702
745,3.711
746,3.716
747,3.721
748,3.73
749,3.732
750,3.742
751,3.744
752,3.753
753,3.758
754,3.764
755,3.772
756,3.774
757,3.785
758,3.786
759,3.795
760,3.8
761,3.806
762,3.814
763,3.816
764,3.827
765,3.828
766,3.838
767,3.842
768,3.848
769,3.856
770,3.859
771,3.869
772,3.87
773,3.88
774,3.884
775,3.891
776,3.898
777,3.901
778,3.912
779,3.922
780,3.926
781,3.933
782,3.94
783,3.944
784,3.954
785,3.965
786,3.968
787,3.976
788,3.982
789,3.986
790,3.996
791,3.997
792,4.008
793,4.01
794,4.018
795,4.024
796,4.029
797,4.038
798,4.04
799,4.05
800,4.052
801,4.061
802,4.066
803,4.072
804,4.081
805,4.083
806,4.093
807,4.095
808,4.104
809,4.109
810,4.115
811,4.123
812,4.125
813,4.136
814,4.137
815,4.147
816,4.151
817,4.158
818,4.165
819,4.168
820,4.179
821,4.19
822,4.193
823,4.201
824,4.207
825,4.211
826,4.221
827,4.222
828,4.233
829,4.235
830,4.244
831,4.249
832,4.255
833,4.263
834,4.265
835,4.276
836,4.277
837,4.287
838,4.291
839,4.298
840,4.305
841,4.309
842,4.319
843,4.33
844,4.333
845,4.341
846,4.347
847,4.352
848,4.361
849,4.363
850,4.373
851,4.375
852,4.384
853,4.39
854,4.395
855,4.404
856,4.406
857,4.417
858,4.418
859,4.428
860,4.432
861,4.439
862,4.446
863,4.449
864,4.46
865,4.471
866,4.474
867,4.482
868,4.488
869,4.493
870,4.502
871,4.504
872,4.515
873,4.516
874,4.526
875,4.53
876,4.537
877,4.544
878,4.548
879,4.558
880,4.569
881,4.572
882,4.58
883,4.586
884,4.591
885,4.601
886,4.602
887,4.613
888,4.615
889,4.624
890,4.629
891,4.635
892,4.643
893,4.646
894,4.657
895,4.668
896,4.671
897,4.679
898,4.685
899,4.69
900,4.699
901,4.701
902,4.712
903,4.713
904,4.723
905,4.727
906,4.734
907,4.741
908,4.745
909,4.755
910,4.756
911,4.767
912,4.77
913,4.778
914,4.784
915,4.789
916,4.798
917,4.8
918,4.811
919,4.812
920,4.822
921,4.826
922,4.833
923,4.84
924,4.844
925,4.854
926,4.855
927,4.866
928,4.868
929,4.877
930,4.882
931,4.888
932,4.896
933,4.899
934,4.91
935,4.911
936,4.922
937,4.925
938,4.933
939,4.939
940,4.944
941,4.953
942,4.955
943,4.966
944,4.967
945,4.977
946,4.981
947,4.988
948,4.995
949,4.999
950,5.009
951,5.01
952,5.021
953,5.023
954,5.033
955,5.037
956,5.044
957,5.052
958,5.055
959,5.066
960,5.077
961,5.08
962,5.088
963,5.094
964,5.099
965,5.108
966,5.111
967,5.122
968,5.133
969,5.136
970,5.144
971,5.15
972,5.155
973,5.164
974,5.166
975,5.178
976,5.179
977,5.189
978,5.193
979,5.2
980,5.207
981,5.211
982,5.221
983,5.222
984,5.234
985,5.235
986,5.245
987,5.249
988,5.256
989,5.263
990,5.267
991,5.277
992,5.278
993,5.29
994,5.291
995,5.301
996,5.306
997,5.312
998,5.32
999,5.323
1000,5.334
1001,5.335
1002,5.346
1003,5.348
1004,5.357
1005,5.362
1006,5.368
1007,5.376
1008,5.38
1009,5.39
1010,5.391
1011,5.402
1012,5.404
1013,5.414
1014,5.419
1015,5.425
1016,5.433
1017,5.436
1018,5.447
1019,5.459
1020,5.461
1021,5.47
1022,5.475
1023,5.481
1024,5.489
1025,5.493
1026,5.503
1027,5.504
1028,5.515
1029,5.517
1030,5.527
1031,5.531
1032,5.538
1033,5.546
1034,5.549
1035,5.56
1036,5.561
1037,5.572
1038,5.574
1039,5.583
1040,5.588
1041,5.595
1042,5.602
1043,5.606
1044,5.616
1045,5.618
1046,5.629
1047,5.63
1048,5.64
1049,5.645
1050,5.652
1051,5.659
1052,5.663
1053,5.673
1054,5.674
1055,5.686
1056,5.687
1057,5.697
1058,5.701
1059,5.709
1060,5.715
1061,5.72
1062,5.729
1063,5.731
1064,5.743
1065,5.754
1066,5.758
1067,5.766
1068,5.772
1069,5.777
1070,5.786
1071,5.789
1072,5.8
1073,5.811
1074,5.814
1075,5.823
1076,5.828
1077,5.834
1078,5.842
1079,5.846
1080,5.856
1081,5.857
1082,5.869
1083,5.871
1084,5.88
1085,5.885
1086,5.892
1087,5.899
1088,5.903
1089,5.913
1090,5.915
1091,5.926
1092,5.927
1093,5.938
1094,5.941
1095,5.949
1096,5.955
1097,5.961
1098,5.969
1099,5.972
1100,5.984
1101,5.995
1102,5.998
1103,6.007
1104,6.012
1105,6.018
1106,6.026
1107,6.03
1108,6.04
1109,6.041
1110,6.053
1111,6.054
1112,6.065
1113,6.068
1114,6.076
1115,6.082
1116,6.088
1117,6.097
1118,6.099
1119,6.111
1120,6.122
1121,6.125
1122,6.134
1123,6.139
1124,6.146
1125,6.153
1126,6.157
1127,6.167
1128,6.169
1129,6.18
1130,6.181
1131,6.192
1132,6.196
1133,6.204
1134,6.21
1135,6.215
1136,6.224
1137,6.227
1138,6.238
1139,6.25
1140,6.252
1141,6.262
1142,6.266
1143,6.273
1144,6.28
1145,6.285
1146,6.294
1147,6.297
1148,6.308
1149,6.309
1150,6.32
1151,6.323
1152,6.332
1153,6.337
1154,6.343
1155,6.351
1156,6.355
1157,6.365
1158,6.367
1159,6.378
1160,6.379
1161,6.39
1162,6.393
1163,6.402
1164,6.407
1165,6.413
1166,6.422
1167,6.425
1168,6.436
1169,6.437
1170,6.448
1171,6.45
1172,6.46
1173,6.464
1174,6.472
1175,6.478
1176,6.484
1177,6.492
1178,6.495
1179,6.506
1180,6.507
1181,6.519
1182,6.52
1183,6.531
1184,6.534
1185,6.542
1186,6.549
1187,6.554
1188,6.563
1189,6.566
1190,6.577
1191,6.578
1192,6.589
1193,6.591
1194,6.601
1195,6.605
1196,6.613
1197,6.619
1198,6.625
1199,6.633
1200,6.636
1201,6.647
1202,6.648
1203,6.66
1204,6.662
1205,6.672
1206,6.676
1207,6.684
1208,6.69
1209,6.695
1210,6.704
1211,6.707
1212,6.718
1213,6.719
1214,6.731
1215,6.732
1216,6.743
1217,6.746
1218,6.755
1219,6.76
1220,6.766
1221,6.774
1222,6.778
1223,6.789
1224,6.79
1225,6.802
1226,6.803
1227,6.814
1228,6.817
1229,6.826
1230,6.831
1231,6.837
1232,6.845
1233,6.849
1234,6.859
1235,6.861
1236,6.873
1237,6.885
1238,6.887
1239,6.897
1240,6.901
1241,6.909
1242,6.915
1243,6.921
1244,6.93
1245,6.933
1246,6.944
1247,6.956
1248,6.958
1249,6.968
1250,6.972
1251,6.98
1252,6.986
1253,6.992
1254,7.0
1255,7.004
1256,7.014
1257,7.016
1258,7.028
1259,7.04
1260,7.042
1261,7.052
1262,7.056
1263,7.064
1264,7.071
1265,7.076
1266,7.085
1267,7.088
1268,7.099
1269,7.1
1270,7.112
1271,7.113
1272,7.124
1273,7.127
1274,7.136
1275,7.141
1276,7.148
1277,7.155
1278,7.16
1279,7.169
1280,7.172
1281,7.183
1282,7.184
1283,7.196
1284,7.197
1285,7.208
1286,7.211
1287,7.22
1288,7.225
1289,7.232
1290,7.24
1291,7.244
1292,7.254
1293,7.256
1294,7.268
1295,7.28
1296,7.282
1297,7.292
1298,7.296
1299,7.304
1300,7.31
1301,7.316
1302,7.324
1303,7.328
