temp,value
-50,39.30
-49,39.51
-48,39.73
-47,39.94
-46,40.16
-45,40.37
-44,40.58
-43,40.80
-42,41.01
-41,41.23
-40,41.44
-39,41.65
-38,41.87
-37,42.08
-36,42.30
-35,42.51
-34,42.72
-33,42.94
-32,43.15
-31,43.37
-30,43.58
-29,43.79
-28,44.01
-27,44.22
-26,44.44
-25,44.65
-24,44.86
-23,45.08
-22,45.29
-21,45.51
-20,45.72
-19,45.93
-18,46.15
-17,46.36
-16,46.58
-15,46.79
-14,47.00
-13,47.22
-12,47.43
-11,47.65
-10,47.86
-9,48.07
-8,48.29
-7,48.50
-6,48.72
-5,48.93
-4,49.14
-3,49.36
-2,49.57
-1,49.79
0,50.00
1,50.21
2,50.43
3,50.64
4,50.86
5,51.07
6,51.28
7,51.50
8,51.71
9,51.93
10,52.14
11,52.35
12,52.57
13,52.78
14,53.00
15,53.21
16,53.42
17,53.64
18,53.85
19,54.07
20,54.28
21,54.49
22,54.71
23,54.92
24,55.14
25,55.35
26,55.56
27,55.78
28,55.99
29,56.21
30,56.42
31,56.63
32,56.85
33,57.06
34,57.28
35,57.49
36,57.70
37,57.92
38,58.13
39,58.35
40,58.56
41,58.77
42,58.99
43,59.20
44,59.42
45,59.63
46,59.84
47,60.06
48,60.27
49,60.49
50,60.70
51,60.91
52,61.13
53,61.34
54,61.56
55,61.77
56,61.98
57,62.20
58,62.41
59,62.63
60,62.84
61,63.05
62,63.27
63,63.48
64,63.70
65,63.91
66,64.12
67,64.34
68,64.55
69,64.77
70,64.98
71,65.19
72,65.41
73,65.62
74,65.84
75,66.05
76,66.26
77,66.48
78,66.69
79,66.91
80,67.12
81,67.33
82,67.55
83,67.76
84,67.98
85,68.19
86,68.40
87,68.62
88,68.83
89,69.05
90,69.26
91,69.47
92,69.69
93,69.90
94,70.12
95,70.33
96,70.54
97,70.76
98,70.97
99,71.19
100,71.40
